,location,total_sqft,bath,price,bhk
80,5th Phase JP Nagar,1030.0,2.0,57.0,2
81,5th Phase JP Nagar,1200.0,2.0,68.0,2
82,5th Phase JP Nagar,1190.0,2.0,61.8,2
83,5th Phase JP Nagar,4000.0,5.0,170.0,5
84,5th Phase JP Nagar,1080.0,2.0,53.0,2
85,5th Phase JP Nagar,1041.0,2.0,54.0,2
86,5th Phase JP Nagar,812.0,2.0,42.0,2
87,5th Phase JP Nagar,1010.0,2.0,57.0,2
88,5th Phase JP Nagar,1450.0,2.0,73.0,3
89,5th Phase JP Nagar,2500.0,8.0,95.0,7
90,5th Phase JP Nagar,1075.0,2.0,60.0,2
91,6th Phase JP Nagar,1192.0,2.0,74.0,2
92,6th Phase JP Nagar,1180.0,2.0,80.0,2
93,6th Phase JP Nagar,3245.0,4.0,250.0,4
95,6th Phase JP Nagar,1140.0,2.0,65.0,2
96,6th Phase JP Nagar,1650.0,6.0,135.0,8
97,6th Phase JP Nagar,2040.0,3.0,200.0,3
98,6th Phase JP Nagar,1213.0,2.0,63.0,2
99,6th Phase JP Nagar,1170.0,2.0,120.0,2
100,6th Phase JP Nagar,1216.0,2.0,60.0,2
101,6th Phase JP Nagar,1460.0,2.0,80.0,2
102,6th Phase JP Nagar,2003.0,3.0,200.0,3
103,6th Phase JP Nagar,1810.0,3.0,131.0,3
104,6th Phase JP Nagar,1515.0,2.0,135.0,3
105,6th Phase JP Nagar,1192.0,2.0,75.0,2
106,6th Phase JP Nagar,1280.0,2.0,88.0,2
107,7th Phase JP Nagar,1080.0,2.0,72.0,2
108,7th Phase JP Nagar,1270.0,2.0,93.0,2
109,7th Phase JP Nagar,1420.0,2.0,100.0,3
110,7th Phase JP Nagar,1850.0,3.0,150.0,3
111,7th Phase JP Nagar,1245.0,2.0,94.0,2
112,7th Phase JP Nagar,1175.0,2.0,82.0,2
113,7th Phase JP Nagar,1400.0,2.0,95.0,3
114,7th Phase JP Nagar,2225.0,3.0,160.0,3
115,7th Phase JP Nagar,1050.0,2.0,71.0,2
116,7th Phase JP Nagar,1100.0,2.0,46.0,2
117,7th Phase JP Nagar,918.0,2.0,50.49,2
118,7th Phase JP Nagar,1450.0,2.0,100.0,3
119,7th Phase JP Nagar,1190.0,2.0,49.98,2
120,7th Phase JP Nagar,1420.0,2.0,96.0,3
121,7th Phase JP Nagar,1680.0,3.0,120.0,3
122,7th Phase JP Nagar,980.0,2.0,69.0,2
123,7th Phase JP Nagar,1180.0,2.0,72.0,2
127,7th Phase JP Nagar,1400.0,3.0,115.0,3
128,7th Phase JP Nagar,1270.0,2.0,83.0,2
130,7th Phase JP Nagar,2503.0,4.0,188.0,4
131,7th Phase JP Nagar,2200.0,3.0,190.0,3
134,7th Phase JP Nagar,1575.0,2.0,110.0,3
135,7th Phase JP Nagar,1850.0,3.0,140.0,3
136,7th Phase JP Nagar,1575.0,2.0,120.0,3
137,7th Phase JP Nagar,1850.0,3.0,150.0,3
138,7th Phase JP Nagar,1680.0,3.0,120.0,3
139,7th Phase JP Nagar,1175.0,2.0,82.5,2
142,7th Phase JP Nagar,1215.0,2.0,90.0,2
143,7th Phase JP Nagar,1050.0,2.0,75.0,2
144,7th Phase JP Nagar,1300.0,3.0,89.13,3
145,7th Phase JP Nagar,1130.0,2.0,73.0,2
146,7th Phase JP Nagar,1450.0,3.0,100.0,3
148,7th Phase JP Nagar,1050.0,2.0,50.0,2
149,7th Phase JP Nagar,1275.0,2.0,87.0,2
151,7th Phase JP Nagar,1650.0,3.0,110.0,3
152,7th Phase JP Nagar,850.0,2.0,42.0,2
153,7th Phase JP Nagar,1680.0,3.0,117.0,3
154,7th Phase JP Nagar,1850.0,3.0,150.0,3
155,7th Phase JP Nagar,1236.0,2.0,61.33,2
156,7th Phase JP Nagar,1000.0,2.0,53.0,2
157,7th Phase JP Nagar,1680.0,3.0,125.0,3
158,7th Phase JP Nagar,1675.0,2.0,135.0,3
159,7th Phase JP Nagar,1187.0,2.0,59.0,2
160,7th Phase JP Nagar,1850.0,3.0,155.0,3
161,7th Phase JP Nagar,1000.0,2.0,61.0,2
162,7th Phase JP Nagar,1460.0,2.0,100.0,3
163,7th Phase JP Nagar,1650.0,3.0,110.0,3
164,7th Phase JP Nagar,1200.0,2.0,62.5,2
165,7th Phase JP Nagar,1000.0,2.0,70.65,2
166,7th Phase JP Nagar,1080.0,2.0,75.0,2
168,7th Phase JP Nagar,1680.0,3.0,125.0,3
169,7th Phase JP Nagar,1460.0,2.0,97.0,3
170,7th Phase JP Nagar,1120.0,2.0,65.0,2
171,7th Phase JP Nagar,1100.0,3.0,60.0,2
172,7th Phase JP Nagar,1790.0,3.0,120.0,3
173,7th Phase JP Nagar,1680.0,3.0,117.0,3
174,7th Phase JP Nagar,1050.0,2.0,77.0,2
175,7th Phase JP Nagar,1050.0,2.0,75.0,2
176,7th Phase JP Nagar,1040.0,2.0,75.0,2
177,7th Phase JP Nagar,1400.0,2.0,95.0,3
178,7th Phase JP Nagar,1800.0,3.0,130.0,3
179,7th Phase JP Nagar,1050.0,2.0,68.0,2
180,7th Phase JP Nagar,1000.0,2.0,60.0,2
181,7th Phase JP Nagar,1680.0,3.0,125.0,3
182,7th Phase JP Nagar,1050.0,2.0,77.47,2
183,7th Phase JP Nagar,1270.0,2.0,80.0,2
185,7th Phase JP Nagar,1680.0,3.0,122.0,3
186,7th Phase JP Nagar,1130.0,2.0,85.0,2
187,7th Phase JP Nagar,1680.0,3.0,130.0,3
188,7th Phase JP Nagar,980.0,2.0,77.44,2
189,7th Phase JP Nagar,1680.0,3.0,112.0,3
191,7th Phase JP Nagar,2095.0,3.0,150.0,3
192,7th Phase JP Nagar,1976.0,3.0,145.0,3
193,7th Phase JP Nagar,1600.0,2.0,110.0,3
194,7th Phase JP Nagar,1765.0,3.0,118.0,3
195,7th Phase JP Nagar,1275.0,2.0,88.0,3
196,7th Phase JP Nagar,1450.0,2.0,102.0,3
197,7th Phase JP Nagar,1575.0,2.0,110.0,3
199,7th Phase JP Nagar,750.0,1.0,47.0,1
200,7th Phase JP Nagar,990.0,2.0,50.0,2
201,7th Phase JP Nagar,1000.0,1.0,60.0,1
203,7th Phase JP Nagar,1430.0,2.0,102.0,3
204,7th Phase JP Nagar,1128.0,2.0,60.0,2
205,7th Phase JP Nagar,1140.0,2.0,57.0,2
206,7th Phase JP Nagar,1420.0,3.0,90.0,3
207,7th Phase JP Nagar,1530.0,2.0,108.0,2
208,8th Phase JP Nagar,1073.5,2.0,54.005,2
209,8th Phase JP Nagar,451.0,1.0,29.9,1
211,8th Phase JP Nagar,1062.0,2.0,42.47,2
213,8th Phase JP Nagar,1455.0,3.0,73.31,3
214,8th Phase JP Nagar,871.0,2.0,55.0,2
215,8th Phase JP Nagar,1098.0,2.0,43.91,2
216,8th Phase JP Nagar,1800.0,3.0,80.0,3
217,8th Phase JP Nagar,2700.0,4.0,130.0,4
218,8th Phase JP Nagar,1080.0,2.0,38.0,2
219,8th Phase JP Nagar,1059.0,2.0,34.5,2
220,8th Phase JP Nagar,1080.0,2.0,35.0,2
222,8th Phase JP Nagar,1062.0,2.0,42.47,2
223,8th Phase JP Nagar,500.0,1.0,31.0,1
224,8th Phase JP Nagar,1100.0,2.0,35.0,2
225,8th Phase JP Nagar,2100.0,4.0,92.0,4
226,8th Phase JP Nagar,1035.0,2.0,39.33,2
227,8th Phase JP Nagar,909.0,2.0,40.9,2
228,8th Phase JP Nagar,1431.5,3.0,72.02,3
229,8th Phase JP Nagar,1900.0,4.0,90.0,3
230,8th Phase JP Nagar,500.0,1.0,30.0,1
231,8th Phase JP Nagar,1125.0,2.0,36.94,2
232,8th Phase JP Nagar,1200.0,3.0,110.0,4
233,8th Phase JP Nagar,1100.0,2.0,35.0,2
234,8th Phase JP Nagar,1089.0,2.0,43.55,2
236,8th Phase JP Nagar,1504.0,2.0,83.0,3
237,8th Phase JP Nagar,2600.0,4.0,115.0,4
239,8th Phase JP Nagar,1089.0,2.0,43.55,2
241,8th Phase JP Nagar,1513.0,2.0,62.0,2
242,8th Phase JP Nagar,1298.0,2.0,59.0,2
243,8th Phase JP Nagar,1006.0,2.0,44.0,2
244,8th Phase JP Nagar,500.0,1.0,33.0,1
245,8th Phase JP Nagar,1160.0,2.0,95.0,2
246,8th Phase JP Nagar,1245.0,2.0,59.0,2
247,8th Phase JP Nagar,1510.0,2.0,80.0,2
248,8th Phase JP Nagar,3300.0,3.0,165.0,3
249,8th Phase JP Nagar,1730.0,5.0,75.0,5
252,8th Phase JP Nagar,1046.0,2.0,48.0,2
254,8th Phase JP Nagar,1408.0,3.0,80.0,3
256,9th Phase JP Nagar,1005.0,2.0,50.0,2
258,9th Phase JP Nagar,1100.0,2.0,65.0,2
259,9th Phase JP Nagar,1080.0,2.0,37.0,2
260,9th Phase JP Nagar,1035.0,2.0,45.0,2
261,9th Phase JP Nagar,5000.0,4.0,290.0,4
262,9th Phase JP Nagar,1164.0,2.0,56.0,2
263,9th Phase JP Nagar,1005.0,2.0,42.0,2
264,9th Phase JP Nagar,3500.0,4.0,300.0,4
265,9th Phase JP Nagar,1127.0,2.0,50.0,2
266,9th Phase JP Nagar,1005.0,2.0,43.0,2
267,9th Phase JP Nagar,835.0,2.0,37.0,2
268,9th Phase JP Nagar,1050.0,2.0,39.0,2
269,9th Phase JP Nagar,660.0,2.0,27.0,2
270,9th Phase JP Nagar,600.0,1.0,20.0,1
271,9th Phase JP Nagar,1466.0,2.0,71.0,2
272,9th Phase JP Nagar,1890.0,2.0,93.0,3
273,9th Phase JP Nagar,1079.0,2.0,60.0,2
274,9th Phase JP Nagar,1480.0,2.0,80.0,2
275,9th Phase JP Nagar,1200.0,2.0,80.0,2
276,9th Phase JP Nagar,905.0,2.0,32.0,2
277,9th Phase JP Nagar,1073.0,2.0,52.36,2
278,9th Phase JP Nagar,1719.3,2.0,88.0,3
279,9th Phase JP Nagar,1780.0,3.0,88.0,3
281,9th Phase JP Nagar,1522.0,3.0,90.0,3
284,9th Phase JP Nagar,890.0,2.0,45.0,2
286,9th Phase JP Nagar,5000.0,4.0,300.0,4
288,9th Phase JP Nagar,1050.0,2.0,35.0,2
289,9th Phase JP Nagar,1331.95,2.0,69.0,2
290,AECS Layout,1100.0,2.0,45.0,2
291,AECS Layout,1028.0,2.0,42.0,2
292,AECS Layout,1199.0,2.0,65.0,2
293,AECS Layout,1080.0,2.0,55.0,2
294,AECS Layout,1123.0,2.0,64.0,2
295,AECS Layout,1308.0,2.0,60.0,2
296,AECS Layout,1005.0,2.0,55.0,2
298,Abbigere,985.0,2.0,40.39,2
299,Abbigere,2200.0,6.0,68.0,6
300,Abbigere,765.0,2.0,30.0,1
301,Abbigere,880.0,2.0,35.0,2
302,Abbigere,795.0,2.0,32.54,2
303,Abbigere,1005.0,2.0,39.59,2
304,Abbigere,734.0,1.0,19.82,1
306,Abbigere,1020.0,2.0,41.82,2
307,Abbigere,985.0,2.0,40.39,2
308,Abbigere,2500.0,6.0,81.0,6
309,Abbigere,795.0,2.0,32.54,2
310,Abbigere,1130.0,2.0,46.33,2
311,Abbigere,795.0,1.0,32.6,2
312,Abbigere,3000.0,8.0,150.0,8
313,Abbigere,985.0,2.0,38.92,2
314,Abbigere,1000.0,2.0,41.0,2
315,Abbigere,995.0,2.0,40.8,2
316,Abbigere,1020.0,2.0,40.8,2
317,Akshaya Nagar,1388.0,2.0,57.0,2
318,Akshaya Nagar,1070.0,2.0,54.0,2
319,Akshaya Nagar,1280.0,2.0,58.0,2
320,Akshaya Nagar,1662.0,3.0,85.1,3
321,Akshaya Nagar,1897.0,3.0,120.0,3
322,Akshaya Nagar,1410.0,2.0,75.0,3
323,Akshaya Nagar,1360.0,2.0,85.0,3
325,Akshaya Nagar,1410.0,2.0,80.0,3
326,Akshaya Nagar,1662.0,3.0,85.0,3
327,Akshaya Nagar,1080.0,4.0,75.0,4
328,Akshaya Nagar,1662.0,3.0,85.5,3
329,Akshaya Nagar,1280.0,2.0,60.0,2
330,Akshaya Nagar,1666.0,3.0,95.0,3
331,Akshaya Nagar,1575.0,3.0,90.0,3
332,Akshaya Nagar,1430.0,2.0,75.0,3
333,Akshaya Nagar,1419.0,2.0,73.0,3
334,Akshaya Nagar,1280.0,2.0,60.0,2
335,Akshaya Nagar,1200.0,2.0,50.0,2
336,Akshaya Nagar,1092.0,2.0,60.0,2
337,Akshaya Nagar,1690.0,3.0,85.0,3
339,Akshaya Nagar,1897.0,4.0,93.0,3
340,Akshaya Nagar,1884.0,3.0,98.0,3
341,Akshaya Nagar,1314.0,2.0,68.8,2
342,Akshaya Nagar,1690.0,3.0,85.0,3
343,Akshaya Nagar,1265.0,2.0,67.0,2
344,Akshaya Nagar,1126.0,2.0,55.0,2
346,Akshaya Nagar,1662.0,3.0,90.0,3
347,Akshaya Nagar,1420.0,2.0,75.0,3
348,Akshaya Nagar,1412.0,2.0,88.0,3
349,Akshaya Nagar,1434.0,3.0,84.0,3
350,Akshaya Nagar,1890.0,4.0,100.0,3
352,Akshaya Nagar,1419.0,2.0,87.0,3
353,Akshaya Nagar,1300.0,2.0,54.0,2
354,Akshaya Nagar,1690.0,3.0,85.0,3
355,Akshaya Nagar,1113.0,2.0,52.0,2
356,Akshaya Nagar,1820.0,4.0,95.0,3
357,Akshaya Nagar,1100.0,2.0,48.0,2
358,Akshaya Nagar,1896.0,3.0,102.0,3
359,Akshaya Nagar,1300.0,2.0,66.0,2
360,Akshaya Nagar,1225.0,2.0,68.0,2
361,Akshaya Nagar,1179.0,2.0,51.0,2
362,Akshaya Nagar,1421.0,2.0,73.0,3
363,Akshaya Nagar,1893.0,4.0,95.0,3
364,Akshaya Nagar,900.0,2.0,45.0,2
365,Ambalipura,1105.0,2.0,75.0,2
366,Ambalipura,1800.0,3.0,110.0,3
367,Ambalipura,1150.0,2.0,80.0,2
368,Ambalipura,1250.0,2.0,66.25,2
369,Ambalipura,1332.0,2.0,79.0,2
370,Ambalipura,1730.0,3.0,120.0,3
372,Ambalipura,1230.0,2.0,66.25,2
373,Ambalipura,1351.0,2.0,77.0,2
377,Ambalipura,1303.0,2.0,80.0,2
378,Ambalipura,1607.0,2.0,112.0,3
379,Ambalipura,770.0,1.0,43.82,1
380,Ambalipura,1700.0,2.0,76.0,2
381,Ambalipura,1060.0,2.0,58.5,2
382,Ambalipura,1650.0,3.0,100.0,3
383,Ambalipura,1607.0,2.0,112.0,3
384,Ambalipura,1198.0,2.0,80.0,2
385,Ambedkar Nagar,1935.0,4.0,130.0,3
386,Ambedkar Nagar,1424.0,2.0,90.0,2
387,Ambedkar Nagar,2225.0,4.0,169.0,3
388,Ambedkar Nagar,1862.0,3.0,120.0,3
389,Ambedkar Nagar,1850.0,4.0,139.0,3
390,Ambedkar Nagar,1936.0,4.0,126.0,3
391,Ambedkar Nagar,1862.0,3.0,119.0,3
392,Ambedkar Nagar,1424.0,2.0,90.0,2
393,Ambedkar Nagar,2150.0,4.0,125.0,3
394,Ambedkar Nagar,3530.0,4.0,290.0,4
395,Ambedkar Nagar,1856.0,3.0,120.0,3
396,Ambedkar Nagar,1852.0,3.0,130.0,3
397,Ambedkar Nagar,1850.0,4.0,120.0,3
398,Ambedkar Nagar,1367.0,2.0,86.0,2
399,Ambedkar Nagar,3565.0,4.0,255.0,4
400,Ambedkar Nagar,1409.0,2.0,95.0,2
401,Ambedkar Nagar,1950.0,4.0,120.0,3
402,Ambedkar Nagar,1921.0,4.0,129.0,3
403,Ambedkar Nagar,1920.0,4.0,121.0,3
404,Ambedkar Nagar,1935.0,4.0,125.0,3
405,Ambedkar Nagar,1852.0,4.0,122.0,3
406,Ambedkar Nagar,1950.0,4.0,120.0,3
407,Ambedkar Nagar,1852.0,3.0,125.0,3
408,Ambedkar Nagar,1850.0,4.0,121.0,3
409,Ambedkar Nagar,1425.0,2.0,94.0,2
410,Ambedkar Nagar,2395.0,4.0,150.0,3
411,Amruthahalli,900.0,2.0,40.0,2
412,Amruthahalli,1200.0,2.0,55.0,2
413,Amruthahalli,1900.0,3.0,135.0,3
414,Amruthahalli,924.0,2.0,45.0,2
415,Amruthahalli,900.0,2.0,60.0,2
416,Amruthahalli,1100.0,2.0,45.0,2
417,Amruthahalli,1200.0,2.0,55.0,2
421,Amruthahalli,1450.0,2.0,85.0,3
422,Amruthahalli,1200.0,2.0,55.0,2
423,Amruthahalli,1250.0,2.0,79.0,2
424,Amruthahalli,1190.0,2.0,50.0,2
425,Amruthahalli,1202.0,2.0,65.0,2
426,Amruthahalli,1340.0,2.0,75.0,2
427,Amruthahalli,2650.0,4.0,175.0,3
428,Amruthahalli,1450.0,2.0,90.0,3
429,Amruthahalli,1025.0,2.0,42.0,2
430,Amruthahalli,485.0,1.0,19.5,1
431,Anandapura,1167.0,2.0,43.76,2
432,Anandapura,1000.0,2.0,55.0,2
433,Anandapura,1141.0,2.0,42.79,2
435,Anandapura,1200.0,2.0,67.0,2
436,Anandapura,1200.0,2.0,58.0,2
437,Anandapura,1151.0,2.0,43.1,2
438,Anandapura,1141.0,2.0,42.75,2
439,Anandapura,900.0,2.0,48.0,2
440,Anandapura,1749.0,4.0,90.0,4
441,Anandapura,1151.0,2.0,42.9,2
443,Anandapura,1250.0,2.0,45.0,2
444,Anandapura,875.0,2.0,57.0,2
445,Anandapura,1151.0,2.0,43.16,2
446,Anandapura,1200.0,2.0,58.0,2
447,Anandapura,1200.0,2.0,66.0,3
448,Anandapura,1415.0,2.0,74.0,3
449,Anandapura,1200.0,2.0,50.0,2
450,Anandapura,1141.0,2.0,50.0,2
452,Ananth Nagar,500.0,1.0,14.0,1
453,Ananth Nagar,1100.0,2.0,31.5,2
454,Ananth Nagar,982.0,2.0,24.55,2
455,Ananth Nagar,500.0,2.0,14.0,1
456,Ananth Nagar,900.0,2.0,22.5,2
457,Ananth Nagar,908.0,2.0,26.0,2
458,Ananth Nagar,870.0,2.0,36.0,2
459,Ananth Nagar,937.0,2.0,35.0,2
460,Ananth Nagar,960.0,2.0,37.0,2
461,Ananth Nagar,500.0,1.0,14.0,1
462,Ananth Nagar,1000.0,2.0,29.7,2
463,Ananth Nagar,850.0,2.0,25.99,2
464,Ananth Nagar,902.0,2.0,25.26,2
465,Ananth Nagar,1470.0,3.0,54.0,3
466,Ananth Nagar,810.0,2.0,25.5,2
467,Ananth Nagar,890.0,2.0,27.0,2
468,Ananth Nagar,1200.0,2.0,36.0,2
470,Ananth Nagar,1319.0,3.0,42.0,3
471,Ananth Nagar,1000.0,2.0,25.0,2
472,Ananth Nagar,902.0,2.0,25.0,2
473,Ananth Nagar,930.0,2.0,25.99,2
474,Ananth Nagar,1074.0,2.0,26.85,2
475,Ananth Nagar,500.0,1.0,14.0,1
476,Ananth Nagar,1010.0,2.0,38.0,2
477,Ananth Nagar,992.0,2.0,24.8,2
479,Anekal,656.0,2.0,22.0,2
480,Anekal,620.0,2.0,22.0,2
481,Anekal,600.0,1.0,16.5,1
482,Anekal,925.0,2.0,40.0,2
483,Anekal,530.0,1.0,18.0,1
484,Anekal,1800.0,3.0,68.0,3
486,Anekal,351.0,1.0,16.0,1
487,Anekal,1035.0,2.0,38.3,2
488,Anekal,888.0,2.0,34.0,2
492,Anekal,1200.0,2.0,36.0,4
493,Anekal,766.0,2.0,28.0,2
494,Anekal,967.0,2.0,45.0,3
495,Anekal,620.0,1.0,23.5,2
496,Anekal,1150.0,3.0,45.0,3
499,Anekal,400.0,1.0,11.5,1
500,Anekal,456.0,1.0,15.0,1
503,Anekal,2400.0,4.0,95.0,3
507,Anekal,420.0,1.0,12.5,1
508,Anekal,614.0,1.0,28.0,2
509,Anekal,1140.0,2.0,52.0,2
510,Anekal,625.0,1.0,25.0,2
511,Anjanapura,1850.0,4.0,86.0,4
512,Anjanapura,1070.0,2.0,39.0,2
513,Anjanapura,1500.0,3.0,121.0,3
514,Anjanapura,1070.0,2.0,37.0,2
515,Anjanapura,950.0,2.0,40.0,2
516,Anjanapura,1280.0,2.0,45.0,3
517,Anjanapura,710.0,2.0,25.0,2
519,Anjanapura,950.0,2.0,32.0,2
520,Anjanapura,1800.0,4.0,55.0,4
521,Anjanapura,1843.0,3.0,87.54,3
522,Anjanapura,1076.0,2.0,30.13,2
523,Anjanapura,950.0,2.0,30.0,2
524,Ardendale,1750.0,3.0,100.0,3
525,Ardendale,3198.0,4.0,200.0,4
526,Ardendale,2422.0,4.0,160.0,4
527,Ardendale,1750.0,3.0,100.0,3
528,Ardendale,3200.0,4.0,205.0,4
529,Ardendale,1728.0,3.0,95.0,3
530,Ardendale,2062.0,3.0,140.0,4
531,Ardendale,1732.46,3.0,92.0,3
532,Ardendale,2062.0,3.0,150.0,4
534,Ardendale,1224.0,2.0,70.0,2
535,Ardendale,1777.26,3.0,105.0,3
536,Ardendale,1650.0,3.0,82.0,3
537,Ardendale,2062.0,3.0,140.0,4
538,Ardendale,1650.0,3.0,82.0,3
539,Ardendale,1224.0,2.0,67.0,2
540,Ardendale,1723.0,3.0,95.0,3
541,Ardendale,1777.26,3.0,89.0,3
542,Ardendale,1777.26,3.0,92.0,3
543,Arekere,2060.0,3.0,140.0,3
544,Arekere,920.0,2.0,40.0,2
545,Arekere,1740.0,2.0,95.0,3
546,Arekere,1190.0,2.0,55.0,2
547,Arekere,600.0,1.0,28.0,1
548,Arekere,2072.0,3.0,108.0,3
549,Arekere,1100.0,2.0,55.0,2
550,Arekere,900.0,2.0,50.0,2
551,Arekere,2710.0,6.0,142.0,4
552,Arekere,1240.0,2.0,60.0,2
553,Arekere,900.0,2.0,44.5,2
554,Attibele,450.0,1.0,11.0,1
555,Attibele,1600.0,4.0,52.8,4
556,Attibele,656.0,2.0,25.0,2
557,Attibele,400.0,1.0,11.0,1
558,Attibele,400.0,1.0,12.0,1
559,Attibele,400.0,1.0,14.0,1
560,Attibele,500.0,1.0,17.0,1
561,Attibele,2168.0,4.0,95.0,4
562,Attibele,395.0,1.0,10.25,1
563,Attibele,420.0,1.0,17.0,1
565,Attibele,418.0,1.0,12.0,1
566,Attibele,1200.0,2.0,42.0,2
567,Attibele,400.0,1.0,10.0,1
568,Attibele,695.0,1.0,25.0,2
569,Attibele,850.0,1.0,25.0,2
570,Attibele,2400.0,3.0,120.0,3
571,Attibele,450.0,1.0,12.5,1
575,Attibele,782.0,1.0,19.55,1
577,Attibele,656.0,2.0,25.0,2
578,Attibele,400.0,1.0,11.5,1
579,Attibele,460.0,1.0,13.0,1
580,Attibele,418.0,2.0,11.5,1
581,Attibele,1000.0,2.0,42.0,2
582,Attibele,550.0,1.0,11.5,1
584,Attibele,410.0,1.0,10.0,1
585,Attibele,1700.0,3.0,65.0,3
586,Attibele,400.0,1.0,10.25,1
587,Attibele,656.0,2.0,25.0,2
588,Attibele,1500.0,3.0,90.0,3
589,Attibele,520.0,1.0,15.0,1
590,BEML Layout,1060.0,2.0,55.0,2
592,BEML Layout,999.0,2.0,45.0,2
593,BEML Layout,1196.0,3.0,150.0,4
594,BEML Layout,2400.0,4.0,225.0,5
596,BEML Layout,1194.0,2.0,65.0,2
597,BEML Layout,1200.0,2.0,67.0,2
598,BEML Layout,2400.0,2.0,228.0,2
601,BEML Layout,1194.0,2.0,65.0,2
602,BTM 2nd Stage,1260.0,5.0,185.0,3
603,BTM 2nd Stage,950.0,2.0,52.0,2
604,BTM 2nd Stage,1850.0,3.0,170.0,3
605,BTM 2nd Stage,1200.0,2.0,80.0,2
606,BTM 2nd Stage,1274.0,2.0,70.0,2
608,BTM 2nd Stage,1070.0,2.0,48.0,2
609,BTM 2nd Stage,1280.0,2.0,80.0,2
610,BTM 2nd Stage,1100.0,2.0,70.0,2
